date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-01-03,7.68,7.88,7.67,7.84,4816508.0,37546908.0,704133907.9999999,0.006840329581173928
2023-01-04,7.84,7.9,7.84,7.88,4475041.0,35223723.0,704133907.9999999,0.006355383470611106
2023-01-05,7.9,7.93,7.85,7.93,3611204.0,28540934.0,704133907.9999999,0.005128575628827693
2023-01-06,7.94,8.06,7.9,7.97,4877920.0,38962157.0,704133907.9999999,0.006927545946274754
2023-01-09,7.99,8.04,7.93,7.94,3344600.0,26679155.0,704133907.9999999,0.004749948783889556
2023-01-10,7.93,7.99,7.9,7.91,3081110.0,24464346.0,704133907.9999999,0.004375744393209935
2023-01-11,7.93,7.99,7.82,7.84,2737395.0,21654584.0,704133907.9999999,0.0038876057080892636
2023-01-12,7.86,8.1,7.79,7.97,6922101.0,54945731.0,704133907.9999999,0.009830659937484507
2023-01-13,7.94,8.01,7.85,8.0,5361041.0,42481912.0,704133907.9999999,0.007613666859514456
2023-01-16,7.98,8.12,7.96,8.11,5966211.0,48124824.0,704133907.9999999,0.008473119860036625
2023-01-17,8.11,8.15,8.06,8.12,5255963.0,42629146.0,704133907.9999999,0.007464436721885578
2023-01-18,8.16,8.17,8.11,8.13,3732960.0,30408824.0,704133907.9999999,0.005301491602077485
2023-01-19,8.1,8.23,8.1,8.22,4405300.0,36079856.0,704133907.9999999,0.00625633838954394
2023-01-20,8.24,8.25,8.17,8.25,4731422.0,38875249.0,704133907.9999999,0.006719491770306851
2023-01-30,8.31,8.42,8.29,8.37,7508830.0,62702645.0,704133907.9999999,0.01066392331726766
2023-01-31,8.36,8.41,8.31,8.39,4634190.0,38744226.0,704133907.9999999,0.006581404399573385
2023-02-01,8.39,8.48,8.37,8.46,7922800.0,66929753.0,704133907.9999999,0.01125183705824319
2023-02-02,8.45,8.56,8.45,8.49,9062964.0,77173753.0,704133907.9999999,0.012871080198001204
2023-02-03,8.49,8.55,8.39,8.52,8314580.0,70427734.0,704133907.9999999,0.011808236907119664
2023-02-06,8.5,8.55,8.4,8.51,6179080.0,52438872.0,704133907.9999999,0.008775433095603743
2023-02-07,8.52,8.67,8.46,8.66,7997600.0,68619402.0,704133907.9999999,0.011358066852249929
2023-02-08,8.63,8.68,8.49,8.51,9029640.0,77233827.0,704133907.9999999,0.012823753972660555
2023-02-09,8.48,8.86,8.47,8.84,15186326.0,132622395.0,704133907.9999999,0.02156738345854522
2023-02-10,8.8,8.91,8.74,8.82,9361772.0,82566741.0,704133907.9999999,0.013295442661738712
2023-02-13,8.79,8.84,8.75,8.8,6794539.0,59663979.0,704133907.9999999,0.009649498373539485
2023-02-14,8.8,8.83,8.7,8.76,5724950.0,50175604.0,704133907.9999999,0.008130484748648123
2023-02-15,8.79,9.03,8.77,8.97,13841230.0,124117474.0,704133907.9999999,0.01965709908689698
2023-02-16,8.96,9.01,8.64,8.72,11150861.0,98665746.0,704133907.9999999,0.0158362789709596
2023-02-17,8.8,8.82,8.61,8.64,9336911.0,81237383.0,704133907.9999999,0.01326013545707559
2023-02-20,8.73,8.84,8.61,8.83,8070940.0,70557575.0,704133907.9999999,0.01146222317701536
2023-02-21,8.85,9.0,8.8,8.88,8174358.0,72827292.0,704133907.9999999,0.01160909580852056
2023-02-22,8.85,8.94,8.81,8.91,5634200.0,50078136.0,704133907.9999999,0.008001603013272301
2023-02-23,8.93,8.98,8.82,8.9,5153080.0,45797942.0,704133907.9999999,0.00731832388904072
2023-02-24,8.9,8.95,8.81,8.87,4366260.0,38736951.0,704133907.9999999,0.006200894390105129
2023-02-27,8.87,8.98,8.8,8.83,4931659.0,43819011.0,704133907.9999999,0.0070038652363834195
2023-02-28,8.86,9.01,8.83,8.94,6624378.0,59060161.0,704133907.9999999,0.00940783837383386
2023-03-01,8.91,9.11,8.9,9.06,8830048.0,79676221.0,704133907.9999999,0.012540296525529631
2023-03-02,9.08,9.1,8.97,8.99,7248772.0,65396933.0,704133907.9999999,0.010294592999489524
2023-03-03,9.0,9.09,8.89,8.98,6820227.0,61300371.0,704133907.9999999,0.009685980070711211
2023-03-06,8.97,9.13,8.96,9.03,8245501.0,74652004.0,704133907.9999999,0.011710131988133145
2023-03-07,9.03,9.09,8.75,8.76,8541901.0,75839841.0,704133907.9999999,0.012131074647806907
2023-03-08,8.75,9.01,8.74,8.94,8450093.0,75325585.0,704133907.9999999,0.012000690357323342
2023-03-09,8.97,8.98,8.88,8.95,4445921.0,39697104.0,704133907.9999999,0.006314027700537894
2023-03-10,8.92,8.98,8.83,8.84,6546999.0,58211345.0,704133907.9999999,0.009297945924228949
2023-03-13,8.85,8.9,8.71,8.9,7756741.0,68230550.0,704133907.9999999,0.011016002654994994
2023-03-14,8.91,8.91,8.62,8.75,9325752.0,81278196.0,704133907.9999999,0.013244287619223702
2023-03-15,8.8,8.93,8.73,8.85,6291645.0,55771161.0,704133907.9999999,0.008935296153924178
2023-03-16,8.8,8.87,8.63,8.68,6488710.0,56712747.0,704133907.9999999,0.009215164795046344
