date,open,high,low,close,volume,amount,outstanding_share,turnover
2024-01-26,24.84,25.09,24.45,24.87,46006756.0,1139645227.0,6845041455.0,0.006721180039953462
2024-01-29,24.79,25.8,24.75,25.22,55684546.0,1413017784.0,6845041455.0,0.008135019541674931
2024-01-30,25.0,25.19,24.61,24.64,34221609.0,851233792.0,6845041455.0,0.0049994743238556474
2024-01-31,24.56,25.1,24.2,24.86,43918768.0,1087280034.0,6845041455.0,0.006416143465123835
2024-02-01,24.64,24.8,24.03,24.12,40985415.0,999435426.0,6845041455.0,0.005987606542552342
2024-02-02,24.25,24.44,23.44,23.95,39980627.0,963620589.0,6845041455.0,0.005840815904890674
2024-02-05,23.78,24.5,23.32,24.08,46839438.0,1122483058.0,6845041455.0,0.006842827513599039
2024-02-06,24.0,25.37,23.86,25.35,44516269.0,1098912329.0,6845041455.0,0.006503433075263969
2024-02-07,25.35,25.8,24.87,25.73,48662684.0,1238945476.0,6845041455.0,0.007109187624342882
2024-02-08,25.92,26.4,25.74,26.02,37151892.0,966009875.0,6845041455.0,0.0054275627465867555
2024-02-19,26.0,26.4,25.7,26.33,30729646.0,804533057.0,6845041455.0,0.004489329422183901
2024-02-20,26.16,26.39,25.83,25.98,25746308.0,669096907.0,6845041455.0,0.0037613078268786027
2024-02-21,25.85,27.3,25.48,26.75,46153154.0,1222504785.0,6845041455.0,0.00674256749260257
2024-02-22,26.5,26.98,26.41,26.98,25068187.0,671048890.0,6845041455.0,0.0036622403479658694
2024-02-23,26.89,27.4,26.83,27.03,26019795.0,706574008.0,6845041455.0,0.0038012618580992945
2024-02-26,26.89,26.93,25.85,26.09,34772830.0,912753098.0,6845041455.0,0.005080002835424756
2024-02-27,25.8,25.97,25.55,25.88,33128514.0,851814694.0,6845041455.0,0.004839782814726576
2024-02-28,25.85,26.05,25.43,25.43,31497308.0,810633646.0,6845041455.0,0.004601478049047111
2024-02-29,25.28,25.69,25.26,25.62,26836000.0,684503911.0,6845041455.0,0.003920502187813266
2024-03-01,25.53,25.53,24.99,25.27,42084075.0,1058816293.0,6845041455.0,0.006148111048949082
2024-03-04,25.15,25.18,24.79,24.96,32502994.0,810967249.0,6845041455.0,0.004748399876564371
2024-03-05,24.84,25.43,24.6,25.42,44663608.0,1124256189.0,6845041455.0,0.006524957999688257
2024-03-06,25.3,25.51,24.96,25.07,31185450.0,783255231.0,6845041455.0,0.004555918354186213
2024-03-07,25.09,25.5,24.9,24.96,34669567.0,874081530.0,6845041455.0,0.005064917024669794
2024-03-08,24.88,25.2,24.63,24.91,23517404.0,584117116.0,6845041455.0,0.0034356846711018204
2024-03-11,24.89,25.22,24.8,25.09,26546383.0,664075133.0,6845041455.0,0.0038781917062911345
2024-03-12,25.01,25.4,24.65,25.08,52200169.0,1305788159.0,6845041455.0,0.007625982887491512
2024-03-13,24.85,24.87,23.21,23.3,130313335.0,3078962150.0,6845041455.0,0.019037625390100725
2024-03-14,23.05,23.34,22.96,23.11,47089937.0,1088944005.0,6845041455.0,0.006879423201389508
2024-03-15,23.12,23.21,22.68,22.94,48004129.0,1097128622.0,6845041455.0,0.007012978564934053
2024-03-18,22.91,23.42,22.89,23.32,46388927.0,1076850487.0,6845041455.0,0.006777011842070722
2024-03-19,23.2,23.25,23.03,23.07,27394357.0,633752356.0,6845041455.0,0.004002073205851753
2024-03-20,23.05,23.25,22.94,23.17,27284015.0,630921937.0,6845041455.0,0.003985953215823146
2024-03-21,23.19,23.5,23.1,23.17,34437915.0,801045786.0,6845041455.0,0.005031074716844063
2024-03-22,23.02,23.03,22.51,22.66,43909915.0,996866367.0,6845041455.0,0.0064148501201443785
2024-03-25,22.53,22.79,22.48,22.48,27722587.0,627170975.0,6845041455.0,0.00405002470507317
2024-03-26,22.49,22.73,22.47,22.67,24919499.0,562710481.0,6845041455.0,0.0036405183465758866
2024-03-27,22.57,22.88,22.55,22.6,27204546.0,617808695.0,6845041455.0,0.003974343497967902
2024-03-28,22.5,22.89,22.3,22.62,29604793.0,669687136.0,6845041455.0,0.004324998350210868
2024-03-29,22.83,23.48,22.8,23.0,47215976.0,1092975408.0,6845041455.0,0.006897836384250211
2024-04-01,23.09,23.78,23.09,23.72,45959041.0,1080336718.0,6845041455.0,0.006714209300577567
2024-04-02,23.68,24.16,23.59,23.67,43322740.0,1032948459.0,6845041455.0,0.006329069047252395
2024-04-03,23.74,23.95,23.52,23.61,26616835.0,630911403.0,6845041455.0,0.0038884841202177934
2024-04-08,23.5,23.59,23.15,23.34,24044850.0,562609196.0,6845041455.0,0.0035127398655031227
2024-04-09,23.4,23.51,23.17,23.21,24639030.0,574455811.0,6845041455.0,0.003599544306923412
2024-04-10,23.22,23.33,22.7,22.76,26888459.0,618105529.0,6845041455.0,0.003928165983620036
2024-04-11,22.6,23.18,22.52,22.93,23439101.0,537056747.0,6845041455.0,0.003424245295531231
2024-04-12,22.89,22.96,22.08,22.11,41988949.0,943690174.0,6845041455.0,0.006134213981907871
2024-04-15,22.2,23.63,22.2,23.63,66948674.0,1554286171.0,6845041455.0,0.009780608991213188
2024-04-16,23.54,23.66,23.12,23.34,34911908.0,817033443.0,6845041455.0,0.005100320900832294
2024-04-17,23.21,23.61,22.82,23.52,43293544.0,1010797340.0,6845041455.0,0.006324803769942983
2024-04-18,23.43,24.6,23.41,24.27,69488379.0,1684096106.0,6845041455.0,0.010151637423501916
2024-04-19,24.1,24.5,24.04,24.26,35128200.0,852374675.0,6845041455.0,0.0051319192485445655
2024-04-22,24.37,24.94,24.17,24.35,41706405.0,1025506694.0,6845041455.0,0.006092936803112466
2024-04-23,24.35,24.43,23.92,24.04,23384084.0,564841139.0,6845041455.0,0.003416207798554523
2024-04-24,24.25,24.85,24.23,24.76,54550512.0,1342683285.0,6845041455.0,0.007969347206824184
2024-04-25,24.6,25.37,24.48,25.2,51529897.0,1289741981.0,6845041455.0,0.0075280620780404026
2024-04-26,25.18,25.49,24.77,25.37,44199049.0,1115275455.0,6845041455.0,0.006457090039639504
2024-04-29,25.61,26.85,25.61,26.55,62928506.0,1659093367.0,6845041455.0,0.009193298011954846
2024-04-30,26.55,26.64,25.77,25.8,37816432.0,986434688.0,6845041455.0,0.005524646161547607
2024-05-06,26.74,27.2,26.66,26.9,56280067.0,1515795898.0,6845041455.0,0.008222019891331688
2024-05-07,26.8,27.29,26.64,27.15,38596862.0,1043937756.0,6845041455.0,0.005638660080255131
2024-05-08,27.09,27.19,26.42,26.5,27284889.0,729827532.0,6845041455.0,0.003986080899491061
2024-05-09,26.54,26.95,26.45,26.75,26800701.0,714908961.0,6845041455.0,0.003915345316195752
2024-05-10,26.82,27.77,26.81,27.65,44163509.0,1212840083.0,6845041455.0,0.006451897960054064
2024-05-13,27.27,28.02,26.8,27.74,44054592.0,1213351762.0,6845041455.0,0.006435986149918796
2024-05-14,27.65,27.9,27.49,27.7,20303887.0,561880477.0,6845041455.0,0.0029662182666795843
2024-05-15,27.62,27.77,27.15,27.3,20435208.0,560162556.0,6845041455.0,0.0029854031030115947
2024-05-16,27.35,28.17,27.27,27.93,34004834.0,946041828.0,6845041455.0,0.004967805414116371
2024-05-17,28.05,28.99,27.87,28.95,48901638.0,1387789677.0,6845041455.0,0.007144096689769426
2024-05-20,28.94,30.09,28.87,29.8,63304983.0,1879948164.0,6845041455.0,0.00924829797104567
2024-05-21,29.45,29.94,29.44,29.7,26254305.0,779667691.0,6845041455.0,0.0038355216944409285
2024-05-22,29.51,30.12,29.46,29.63,24097825.0,718646622.0,6845041455.0,0.0035204790443449548
2024-05-23,29.5,29.77,29.37,29.67,24093472.0,711999125.0,6845041455.0,0.0035198431095549883
2024-05-24,29.5,29.64,28.88,28.91,30152162.0,880438598.0,6845041455.0,0.004404964118657774
2024-05-27,29.1,29.54,28.91,29.35,25105630.0,735498159.0,6845041455.0,0.0036677104390158877
2024-05-28,29.28,29.8,29.08,29.19,18928351.0,556482426.0,6845041455.0,0.0027652646261438893
2024-05-29,29.1,29.3,28.7,28.84,24972507.0,721762624.0,6845041455.0,0.003648262346425775
2024-05-30,28.72,29.16,28.46,28.66,21310290.0,612186528.0,6845041455.0,0.0031132448415537024
2024-05-31,28.87,29.28,28.66,28.78,21053518.0,609628249.0,6845041455.0,0.003075732723959084
2024-06-03,28.58,29.08,28.41,28.89,17718398.0,510853570.0,6845041455.0,0.00258850119703183
2024-06-04,28.8,29.14,28.6,28.99,19741910.0,570784613.0,6845041455.0,0.0028841183986664403
2024-06-05,29.03,29.36,28.81,28.92,15143200.0,439906957.0,6845041455.0,0.0022122875514418634
2024-06-06,29.02,29.09,28.24,28.35,31813653.0,906415962.0,6845041455.0,0.004647693254912508
2024-06-07,28.63,28.91,28.09,28.31,18900791.0,536342147.0,6845041455.0,0.0027612383539611447
